dataset,n,metric,higher_is_better,floor_pct,method,role,selection,value,sd,n_seeds,rank,n_ranked,gap_to_best_pct,gap_over_floor,adaptive_paired_plain,source
ETTm2,3,forecast/mse,False,14.107,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.12989441553751627,0.0021130694548752906,3,5,8,41.2372,2.9232,0.09196929633617401,adaptive_lambda
ETTm2,5,forecast/mse,False,14.107,base,reference,none,0.569494,,,,8,421.6771,29.8913,,method_comparison
ETTm2,5,forecast/mse,False,14.107,joint,reference,shared configuration,0.075037,,,,8,-31.2634,-2.2162,,method_comparison
ETTm2,5,forecast/mse,False,14.107,specialists,reference,mean of per-segment models,0.201843,,,,8,84.8955,6.018,,method_comparison
ETTm2,5,forecast/mse,False,14.107,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.138523,,,,8,26.8921,1.9063,,method_comparison
ETTm2,5,forecast/mse,False,14.107,sequential,candidate,final step,0.183852,,,5,8,68.4151,4.8497,,method_comparison
ETTm2,5,forecast/mse,False,14.107,window_val,candidate,W selected on validation,0.109166,,,1,8,0.0,0.0,,method_comparison
ETTm2,5,forecast/mse,False,14.107,window_oracle,reference,W selected on TEST,0.109166,,,,8,0.0,0.0,,method_comparison
ETTm2,5,forecast/mse,False,14.107,ta,candidate,val-selected alpha,0.1190199926495552,0.010024599858635377,3,2,8,9.0266,0.6399,,merge_baselines
ETTm2,5,forecast/mse,False,14.107,dare,candidate,val-selected alpha,0.1216454083720843,0.017154745757206595,3,3,8,11.4316,0.8103,,merge_baselines
ETTm2,5,forecast/mse,False,14.107,ties,candidate,val-selected alpha,0.2914571166038513,0.03140666631209927,3,8,8,166.9852,11.837,,merge_baselines
ETTm2,5,forecast/mse,False,14.107,iso_c,candidate,val-selected alpha,0.1997870405515035,0.029604086736718195,3,6,8,83.0121,5.8845,,merge_baselines
ETTm2,5,forecast/mse,False,14.107,tsv,candidate,val-selected alpha,0.17501466472943625,0.020079657650849084,3,4,8,60.3198,4.2759,,merge_baselines
ETTm2,5,forecast/mse,False,14.107,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.20611754059791565,0.004630373204988661,3,7,8,88.8111,6.2955,0.18385240932305655,adaptive_lambda
PSM,2,window_auroc,True,0.068,base,reference,none,0.772975,,,,6,3.8738,56.9672,,method_comparison
PSM,2,window_auroc,True,0.068,joint,reference,shared configuration,0.799845,,,,6,0.5322,7.8272,,method_comparison
PSM,2,window_auroc,True,0.068,specialists,reference,mean of per-segment models,0.794685,,,,6,1.1739,17.2638,,method_comparison
PSM,2,window_auroc,True,0.068,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.804109,,,,6,0.002,0.0292,,method_comparison
PSM,2,window_auroc,True,0.068,sequential,candidate,final step,0.803046,,,2,6,0.1342,1.9732,,method_comparison
PSM,2,window_auroc,True,0.068,window_oracle,reference,W selected on TEST,0.798699,,,,6,0.6748,9.923,,method_comparison
PSM,2,window_auroc,True,0.068,ta,candidate,distance-matched to TA at alpha = 1.0,0.8041249497574965,0.0006966451686122553,3,1,6,0.0,0.0,,merge_baselines
PSM,2,window_auroc,True,0.068,dare,candidate,distance-matched to TA at alpha = 1.0,0.7998620517237588,0.001348970049987554,3,5,6,0.5301,7.796,,merge_baselines
PSM,2,window_auroc,True,0.068,ties,candidate,distance-matched to TA at alpha = 1.0,0.800377645396895,0.0010731553940315393,3,3,6,0.466,6.8531,,merge_baselines
PSM,2,window_auroc,True,0.068,iso_c,candidate,distance-matched to TA at alpha = 1.0,0.7846944074238872,0.0017196033406979797,3,6,6,2.4164,35.5347,,merge_baselines
PSM,2,window_auroc,True,0.068,tsv,candidate,distance-matched to TA at alpha = 1.0,0.8002320181759122,0.0015219946098558109,3,4,6,0.4841,7.1194,,merge_baselines
PSM,3,window_auroc,True,0.068,base,reference,none,0.774187,,,,7,3.6929,54.3067,,method_comparison
PSM,3,window_auroc,True,0.068,joint,reference,shared configuration,0.799845,,,,7,0.5011,7.3685,,method_comparison
PSM,3,window_auroc,True,0.068,specialists,reference,mean of per-segment models,0.789593,,,,7,1.7764,26.1233,,method_comparison
PSM,3,window_auroc,True,0.068,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.80046,,,,7,0.4246,6.2435,,method_comparison
PSM,3,window_auroc,True,0.068,sequential,candidate,final step,0.796863,,,4,7,0.872,12.8237,,method_comparison
PSM,3,window_auroc,True,0.068,window_oracle,reference,W selected on TEST,0.798699,,,,7,0.6436,9.465,,method_comparison
PSM,3,window_auroc,True,0.068,ta,candidate,distance-matched to TA at alpha = 1.0,0.8004519815816854,0.0019461767379056066,3,3,7,0.4256,6.2581,,merge_baselines
PSM,3,window_auroc,True,0.068,dare,candidate,distance-matched to TA at alpha = 1.0,0.8005636955982803,0.0014375425915453697,3,2,7,0.4117,6.0538,,merge_baselines
PSM,3,window_auroc,True,0.068,ties,candidate,distance-matched to TA at alpha = 1.0,0.8038728881738114,0.0021525934800036375,3,1,7,0.0,0.0,,merge_baselines
PSM,3,window_auroc,True,0.068,iso_c,candidate,distance-matched to TA at alpha = 1.0,0.7847186636944814,0.0007704851020091253,3,7,7,2.3827,35.0403,,merge_baselines
PSM,3,window_auroc,True,0.068,tsv,candidate,distance-matched to TA at alpha = 1.0,0.796772080660232,0.001411963476218591,3,5,7,0.8833,12.9901,,merge_baselines
PSM,3,window_auroc,True,0.068,adaptive_lambda,candidate,"final step, B = 64 (defect; AD not re-run)",0.7905952013297523,0.007138817163810536,3,6,7,1.6517,24.2899,0.796863489613565,adaptive_lambda
PSM,5,window_auroc,True,0.068,base,reference,none,0.775714,,,,6,3.0267,44.5109,,method_comparison
PSM,5,window_auroc,True,0.068,joint,reference,shared configuration,0.799845,,,,6,0.0101,0.1484,,method_comparison
PSM,5,window_auroc,True,0.068,specialists,reference,mean of per-segment models,0.783478,,,,6,2.0562,30.2375,,method_comparison
PSM,5,window_auroc,True,0.068,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.794416,,,,6,0.6888,10.1291,,method_comparison
PSM,5,window_auroc,True,0.068,sequential,candidate,final step,0.795251,,,3,6,0.5844,8.594,,method_comparison
PSM,5,window_auroc,True,0.068,window_oracle,reference,W selected on TEST,0.798699,,,,6,0.1534,2.2552,,method_comparison
PSM,5,window_auroc,True,0.068,ta,candidate,distance-matched to TA at alpha = 1.0,0.7943708894541085,0.004819012755654386,3,4,6,0.6944,10.212,,merge_baselines
PSM,5,window_auroc,True,0.068,dare,candidate,distance-matched to TA at alpha = 1.0,0.7999256955621735,0.0024380155803879846,3,1,6,0.0,0.0,,merge_baselines
PSM,5,window_auroc,True,0.068,ties,candidate,distance-matched to TA at alpha = 1.0,0.7976537329223946,0.005740059680575305,3,2,6,0.284,4.1768,,merge_baselines
PSM,5,window_auroc,True,0.068,iso_c,candidate,distance-matched to TA at alpha = 1.0,0.7839919480577177,0.0028819471947394543,3,6,6,1.9919,29.2927,,merge_baselines
PSM,5,window_auroc,True,0.068,tsv,candidate,distance-matched to TA at alpha = 1.0,0.792415689854432,0.001310200158770771,3,5,6,0.9388,13.8064,,merge_baselines
PSM-forecast,2,forecast/mse,False,1.157,base,reference,none,0.532746,,,,7,45.7939,39.5799,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,joint,reference,shared configuration,0.302186,,,,7,-17.3023,-14.9544,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,specialists,reference,mean of per-segment models,0.426517,,,,7,16.7227,14.4535,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.362958,,,,7,-0.6711,-0.5801,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,sequential,candidate,final step,0.442678,,,7,7,21.1454,18.2761,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,window_val,candidate,W selected on validation,0.413191,,,5,7,13.0759,11.3015,,method_comparison
PSM-forecast,2,forecast/mse,False,1.157,window_oracle,reference,W selected on TEST,0.361129,,,,7,-1.1717,-1.0127,,method_comparison
