test,dataset,n_segments,metric,n_seeds,floor_pct,baseline_label,baseline,baseline_sd,variant_label,variant,variant_sd,delta_pct,verdict,committed_alpha,target_alpha_times_n,implied_alpha_times_n,threshold,opcm_norm_ratio,distance_ratio,confounded,alpha_n_ok,n_seeds_expected,complete,source_experiment,base,joint,joint_from,grr_baseline,grr_baseline_sd,grr_baseline_derived,grr_variant,grr_variant_sd,grr_delta,grr_delta_paired_sd,baseline_matched_seed,delta_pct_matched_seed,verdict_matched_seed,matched_seed_n,verdict_changed
P1_paper_opcm,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,simplified OPCM (1.35),0.264626,0.061627,22.921,worse,0.266667,,,,,,,,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.834549,0.079424,-0.063595,0.055809,,,,,
P4_opcm_committed,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at committed alpha, thr=0.3",0.493218,0.115539,129.104,worse,0.266667,0.8,0.8,0.3,0.411921,,coefficient_not_distance_matched,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.539943,0.148905,-0.358201,0.125627,,,,,
P4_opcm_committed,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at committed alpha, thr=0.5",0.526315,0.104459,144.478,worse,0.266667,0.8,0.8,0.5,0.379974,,coefficient_not_distance_matched,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.497288,0.134625,-0.400856,0.111726,,,,,
P4_opcm_committed,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at committed alpha, thr=0.7",0.535077,0.10108,148.548,worse,0.266667,0.8,0.8,0.7,0.354377,,coefficient_not_distance_matched,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.485996,0.13027,-0.412148,0.107202,,,,,
P5_opcm_distance,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at matched distance, thr=0.3",0.376255,0.079836,74.774,worse,0.266667,0.8,0.8,0.3,,1.0,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.690683,0.102891,-0.207461,0.079662,,,,,
P5_opcm_distance,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at matched distance, thr=0.5",0.380169,0.055333,76.592,worse,0.266667,0.8,0.8,0.5,,1.0,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.685639,0.071312,-0.212505,0.048997,,,,,
P5_opcm_distance,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,"paper projection at matched distance, thr=0.7",0.361934,0.035712,68.121,worse,0.266667,0.8,0.8,0.7,,1.0,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.70914,0.046025,-0.189004,0.02436,,,,,
P3_order_reversal,ETTh2,3,forecast/mse,3,6.741,OPCM forward (opcm_t050),0.264626,0.061627,OPCM reversed (opcm_t050_rev),0.322861,0.045386,22.007,worse,,,,,,,,,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.834549,0.079424,,0.759496,0.058493,-0.075053,0.023915,,,,,
P1_paper_opcm,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,paper OPCM alpha=0.3,0.308519,0.040349,15.585,worse,0.15,,1.559817,0.3,1.0,,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.7629,0.055533,-0.057254,0.021637,,,,,
P1_paper_opcm,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,paper OPCM alpha=0.5,0.309094,0.025544,15.8,worse,0.15,,1.559817,0.5,1.0,,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.762109,0.035157,-0.058045,0.031291,,,,,
P1_paper_opcm,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,paper OPCM alpha=0.7,0.300509,0.005659,12.584,worse,0.15,,1.559817,0.7,1.0,,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.773925,0.007789,-0.046229,0.04411,,,,,
P1_paper_opcm,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,simplified OPCM (1.35),0.440017,0.14225,64.85,worse,0.15,,,,,,,,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.581917,0.195781,-0.238237,0.154637,,,,,
P4_opcm_committed,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at committed alpha, thr=0.3",0.668398,0.105132,150.411,worse,0.15,0.75,0.75,0.3,0.259566,,coefficient_not_distance_matched,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.267592,0.144695,-0.552562,0.103164,,,,,
P4_opcm_committed,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at committed alpha, thr=0.5",0.696126,0.092919,160.799,worse,0.15,0.75,0.75,0.5,0.223381,,coefficient_not_distance_matched,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.22943,0.127886,-0.590724,0.086294,,,,,
P4_opcm_committed,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at committed alpha, thr=0.7",0.703759,0.088858,163.659,worse,0.15,0.75,0.75,0.7,0.195014,,coefficient_not_distance_matched,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.218924,0.122297,-0.60123,0.080758,,,,,
P5_opcm_distance,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at matched distance, thr=0.3",0.523035,0.084007,95.952,worse,0.15,0.75,0.75,0.3,,1.0,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.467658,0.11562,-0.352496,0.074017,,,,,
P5_opcm_distance,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at matched distance, thr=0.5",0.524258,0.056328,96.41,worse,0.15,0.75,0.75,0.5,,1.0,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.465975,0.077525,-0.354179,0.037671,,,,,
P5_opcm_distance,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,"paper projection at matched distance, thr=0.7",0.495387,0.029754,85.594,worse,0.15,0.75,0.75,0.7,,1.0,,1,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.820154,0.041627,0.8202,0.50571,0.040951,-0.314444,0.011988,,,,,
