dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,5,c05,dare,distance_matched,3,0.796371419878338,0.0024606130559410005,dm dm dm,0.6457,0.068,3.298228659242087,2.9004613554801835,1.1371393219945354,,
PSM,5,c05,dare,oracle,3,0.7933048570089688,0.0037769582287564794,1 0.5 0.5,0.6457,0.068,2.9004613554801835,2.9004613554801835,1.0,,
PSM,5,c05,dare,base,3,0.7709439263526875,0.004977659366100508,0 0 0,0.6457,0.068,0.0,2.9004613554801835,0.0,,
PSM,5,c05,ties,calibrated,3,0.775979849650242,0.006304107293292992,0.5 0 0.5,0.6457,0.068,0.653215250216619,3.285013701985304,0.19884703976176635,worse,worse
PSM,5,c05,ties,validation,3,0.784886490212942,0.003131097370854871,1 1 1,0.6457,0.068,1.808505571373569,3.285013701985304,0.5505321241980194,,
PSM,5,c05,ties,distance_matched,3,0.7955535508221098,0.005671416726350043,dm dm dm,0.6457,0.068,3.192141948098569,3.285013701985304,0.9717286555515408,,
PSM,5,c05,ties,oracle,3,0.7962695399679968,0.0050364653212737155,3 3 2,0.6457,0.068,3.285013701985304,3.285013701985304,1.0,,
PSM,5,c05,ties,base,3,0.7709439263526875,0.004977659366100508,0 0 0,0.6457,0.068,0.0,3.285013701985304,0.0,,
PSM,5,c05,iso_c,calibrated,3,0.7807862320314879,0.0024405801669707254,3 5 5,0.6457,0.068,1.2766564911360094,1.3136727518760742,0.9718223121495049,tie,tie
PSM,5,c05,iso_c,validation,3,0.7810716066454263,0.0026143254278138024,5 5 5,0.6457,0.068,1.3136727518760742,1.3136727518760742,1.0,,
PSM,5,c05,iso_c,distance_matched,3,0.7789662769164919,0.0029801451044436213,dm dm dm,0.6457,0.068,1.0405880751610435,1.3136727518760742,0.7921212293358184,,
PSM,5,c05,iso_c,oracle,3,0.7810716066454263,0.0026143254278138024,5 5 5,0.6457,0.068,1.3136727518760742,1.3136727518760742,1.0,,
