model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
merged,val_0,val,forecast/rmse,0.8812955465788814,1.191919616054565,229,43
base,val_1,val,forecast/mae,0.40200671553611755,1.0,229,43
ft_0,val_1,val,forecast/mae,0.41124072670936584,1.0229697933302775,229,43
ft_1,val_1,val,forecast/mae,0.3432796001434326,0.8539150886711774,229,43
ft_2,val_1,val,forecast/mae,0.352802038192749,0.8776023498071444,229,43
merged,val_1,val,forecast/mae,0.37843945622444153,0.9413759561696708,229,43
base,val_1,val,forecast/mse,0.350798100233078,1.0,229,43
ft_0,val_1,val,forecast/mse,0.28251850605010986,0.8053592817703356,229,43
ft_1,val_1,val,forecast/mse,0.22693483531475067,0.646910103458286,229,43
ft_2,val_1,val,forecast/mse,0.2505585551261902,0.7142528849492444,229,43
merged,val_1,val,forecast/mse,0.2604856491088867,0.7425514817093203,229,43
base,val_1,val,forecast/rmse,0.5922821120319928,1.0,229,43
ft_0,val_1,val,forecast/rmse,0.5315246993791632,0.8974181198139112,229,43
ft_1,val_1,val,forecast/rmse,0.4763767787316576,0.804307219573644,229,43
ft_2,val_1,val,forecast/rmse,0.5005582434903956,0.845134832407968,229,43
merged,val_1,val,forecast/rmse,0.5103779473183444,0.8617142691805215,229,43
base,val_2,val,forecast/mae,0.554483950138092,1.0,229,43
ft_0,val_2,val,forecast/mae,0.7483110427856445,1.3495630353219072,229,43
ft_1,val_2,val,forecast/mae,0.7397105097770691,1.3340521571324961,229,43
ft_2,val_2,val,forecast/mae,0.39132457971572876,0.7057455488445985,229,43
merged,val_2,val,forecast/mae,0.7064780592918396,1.2741181401479593,229,43
base,val_2,val,forecast/mse,0.5192742347717285,1.0,229,43
ft_0,val_2,val,forecast/mse,0.827774703502655,1.5940993179962846,229,43
ft_1,val_2,val,forecast/mse,0.7749812602996826,1.4924315677637312,229,43
ft_2,val_2,val,forecast/mse,0.27988243103027344,0.5389877107099469,229,43
merged,val_2,val,forecast/mse,0.7810467481613159,1.5041122702817362,229,43
base,val_2,val,forecast/rmse,0.7206068517379838,1.0,229,43
ft_0,val_2,val,forecast/rmse,0.9098212481046236,1.2625764602574707,229,43
ft_1,val_2,val,forecast/rmse,0.8803301995840439,1.221651164516177,229,43
ft_2,val_2,val,forecast/rmse,0.5290391583146501,0.73415782411546,229,43
merged,val_2,val,forecast/rmse,0.8837684924013278,1.2264225496466281,229,43
base,test,test,forecast/mae,0.6130709052085876,1.0,3365,43
ft_0,test,test,forecast/mae,0.6594897508621216,1.0757152969732606,3365,43
ft_1,test,test,forecast/mae,0.5258173942565918,0.8576779452250972,3365,43
ft_2,test,test,forecast/mae,0.47890526056289673,0.7811580299997385,3365,43
merged,test,test,forecast/mae,0.5661000609397888,0.9233843200358404,3365,43
standard,test,test,forecast/mae,0.45731475949287415,0.7459410577268873,3365,43
base,test,test,forecast/mse,0.7023149728775024,1.0,3365,43
ft_0,test,test,forecast/mse,0.7354803681373596,1.0472229648244191,3365,43
ft_1,test,test,forecast/mse,0.5124998092651367,0.7297292939168574,3365,43
ft_2,test,test,forecast/mse,0.45027169585227966,0.6411250126242374,3365,43
merged,test,test,forecast/mse,0.5918385982513428,0.8426968256514319,3365,43
standard,test,test,forecast/mse,0.42706435918807983,0.6080809546724106,3365,43
base,test,test,forecast/rmse,0.8380423455157278,1.0,3365,43
ft_0,test,test,forecast/rmse,0.8576015206011237,1.023339125033544,3365,43
ft_1,test,test,forecast/rmse,0.7158909199487983,0.854241941089793,3365,43
ft_2,test,test,forecast/rmse,0.6710228728234826,0.8007028241640199,3365,43
merged,test,test,forecast/rmse,0.7693104693498866,0.917985199037235,3365,43
standard,test,test,forecast/rmse,0.6535016137608841,0.7797954569452239,3365,43
