merge_scale,split,metric,value,n_windows,eval_seed
1.0,test,pa_precision,0.9343631072308036,449820,43
1.0,test,pa_recall,0.7641383350725911,449820,43
1.0,test,event_f1,0.34782608695652173,449820,43
1.0,test,event_precision,0.7272727272727273,449820,43
1.0,test,event_recall,0.22857142857142856,449820,43
1.0,test,event_tp,8.0,449820,43
1.0,test,event_fp,3.0,449820,43
1.0,test,event_fn,27.0,449820,43
1.25,test,window_auroc,0.8063755445699435,449820,43
1.25,test,window_auprc,0.7048889111345251,449820,43
1.25,test,window_f1,0.7513791993130836,449820,43
1.25,test,window_precision,0.9953082347588716,449820,43
1.25,test,window_recall,0.6034791903727458,449820,43
1.25,test,point_auroc,0.8213551334982621,449820,43
1.25,test,point_auprc,0.7093910637008071,449820,43
1.25,test,point_f1,0.7674211370522188,449820,43
1.25,test,point_precision,0.9798890627222301,449820,43
1.25,test,point_recall,0.6306731843064023,449820,43
1.25,test,pa_f1,0.8412205740083843,449820,43
1.25,test,pa_precision,0.9355988433346035,449820,43
1.25,test,pa_recall,0.7641383350725911,449820,43
1.25,test,event_f1,0.34782608695652173,449820,43
1.25,test,event_precision,0.7272727272727273,449820,43
1.25,test,event_recall,0.22857142857142856,449820,43
1.25,test,event_tp,8.0,449820,43
1.25,test,event_fp,3.0,449820,43
1.25,test,event_fn,27.0,449820,43
1.5,test,window_auroc,0.806732227259646,449820,43
1.5,test,window_auprc,0.7051733895265927,449820,43
1.5,test,window_f1,0.7514888776813211,449820,43
1.5,test,window_precision,0.9950836909261417,449820,43
1.5,test,window_recall,0.6037033205751526,449820,43
1.5,test,point_auroc,0.8217352963785165,449820,43
1.5,test,point_auprc,0.7103762373439361,449820,43
1.5,test,point_f1,0.7674278712264676,449820,43
1.5,test,point_precision,0.9799994309937694,449820,43
1.5,test,point_recall,0.6306365683528313,449820,43
1.5,test,pa_f1,0.8417549839163448,449820,43
1.5,test,pa_precision,0.9369219718056927,449820,43
1.5,test,pa_recall,0.7641383350725911,449820,43
1.5,test,event_f1,0.3404255319148936,449820,43
1.5,test,event_precision,0.6666666666666666,449820,43
1.5,test,event_recall,0.22857142857142856,449820,43
1.5,test,event_tp,8.0,449820,43
1.5,test,event_fp,4.0,449820,43
1.5,test,event_fn,27.0,449820,43
