dataset,n_segments,seed,rule,metric,alpha,value,oracle_alpha,oracle_value,distance,source_experiment,run
exchange,2,123,tsv,forecast/mse,1.0,0.2569807469844818,1.0,0.2569807469844818,2.981559,segsweep_exchange_merge_n2,79922
exchange,3,7,ta,forecast/mse,0.5,0.2913477122783661,0.5,0.2913477122783661,1.403414,selalpha_exchange_n3,84601
exchange,3,7,dare,forecast/mse,0.5,0.296101838350296,0.5,0.296101838350296,2.393346,selalpha_exchange_n3,84601
exchange,3,7,ties,forecast/mse,1.0,0.382377564907074,2.0,0.28563013672828674,1.81846,selalpha_exchange_n3,84601
exchange,3,7,iso_c,forecast/mse,3.0,0.39001384377479553,3.0,0.39001384377479553,3.627991,selalpha_exchange_n3,84601
exchange,3,7,tsv,forecast/mse,1.0,0.28037649393081665,1.0,0.28037649393081665,2.512011,selalpha_exchange_n3,84601
exchange,3,42,ta,forecast/mse,0.5,0.3333456516265869,0.3,0.33188891410827637,1.51196,selalpha_exchange_n3,84602
exchange,3,42,dare,forecast/mse,0.5,0.3231602609157562,0.5,0.3231602609157562,2.583945,selalpha_exchange_n3,84602
exchange,3,42,ties,forecast/mse,1.5,0.21755312383174896,1.5,0.21755312383174896,2.953058,selalpha_exchange_n3,84602
exchange,3,42,iso_c,forecast/mse,3.0,0.3678409159183502,3.0,0.3678409159183502,3.995306,selalpha_exchange_n3,84602
exchange,3,42,tsv,forecast/mse,1.0,0.31534165143966675,1.0,0.31534165143966675,2.720513,selalpha_exchange_n3,84602
exchange,3,123,ta,forecast/mse,0.5,0.4007900655269623,0.3,0.3730893135070801,1.423501,selalpha_exchange_n3,84603
exchange,3,123,dare,forecast/mse,0.5,0.4055393934249878,0.3,0.37128496170043945,2.413912,selalpha_exchange_n3,84603
exchange,3,123,ties,forecast/mse,1.5,0.33790597319602966,1.5,0.33790597319602966,2.796805,selalpha_exchange_n3,84603
exchange,3,123,iso_c,forecast/mse,3.0,0.41499361395835876,3.0,0.41499361395835876,3.717303,selalpha_exchange_n3,84603
exchange,3,123,tsv,forecast/mse,1.0,0.3574003279209137,1.0,0.3574003279209137,2.541795,selalpha_exchange_n3,84603
exchange,5,123,ta,forecast/mse,0.3,0.35878878831863403,0.3,0.35878878831863403,1.089846,segsweep_exchange_merge_n5,79885
exchange,5,123,dare,forecast/mse,0.3,0.3607338070869446,0.3,0.3607338070869446,1.65297,segsweep_exchange_merge_n5,79885
exchange,5,123,ties,forecast/mse,1.5,0.33461809158325195,1.5,0.33461809158325195,2.473883,segsweep_exchange_merge_n5,79885
exchange,5,123,iso_c,forecast/mse,3.0,0.3590087890625,3.0,0.3590087890625,4.727265,segsweep_exchange_merge_n5,79885
exchange,5,123,tsv,forecast/mse,1.0,0.30466318130493164,1.0,0.30466318130493164,2.677986,segsweep_exchange_merge_n5,79885
exchange,5,42,ta,forecast/mse,0.3,0.3049217164516449,0.3,0.3049217164516449,1.091386,segsweep_exchange_merge_n5,79886
