experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
etth_vf15_regsweep,79355,sum,scale,config.json,1.0,3,bitwise,73,0.0
etth_vf15_regsweep,79356,sum,scale,config.json,1.0,3,bitwise,73,0.0
ettm2_merge_n2,80584,sum,scale,merge_scale/selected,0.4,2,bitwise,73,0.0
ettm2_merge_n2,80585,sum,scale,merge_scale/selected,0.35,2,bitwise,73,0.0
ettm2_merge_n2,80586,sum,scale,merge_scale/selected,0.4,2,bitwise,73,0.0
ettm2_merge_n3,80587,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
ettm2_merge_n3,80588,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
ettm2_merge_n3,80589,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
ettm2_merge_n5,80590,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
ettm2_merge_n5,80591,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
ettm2_merge_n5,80592,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
ettm2_n1,80572,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_n1,80573,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_n1,80574,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W1,80575,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W1,80576,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W1,80577,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W2,80578,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W2,80579,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W2,80580,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W3,80581,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W3,80582,sum,scale,config.json,1.0,1,bitwise,73,0.0
ettm2_window_W3,80583,sum,scale,config.json,1.0,1,bitwise,73,0.0
exch_gate_incremental,79671,sum,scale,config.json,0.5,3,bitwise,73,0.0
exch_gate_incremental,80665,sum,scale,config.json,0.5,3,bitwise,73,0.0
exch_gate_incremental,80666,sum,scale,config.json,0.5,3,bitwise,73,0.0
exch_incremental,79677,sum,scale,config.json,0.5,3,bitwise,73,0.0
exch_incremental,79678,sum,scale,config.json,0.5,3,bitwise,73,0.0
exch_incremental,80669,sum,scale,config.json,0.5,3,bitwise,73,0.0
fixshard_etth1_n2,80415,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
fixshard_etth1_n2,80416,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
fixshard_etth1_n2,80417,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
fixshard_etth1_n3,80418,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
fixshard_etth1_n3,80419,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
fixshard_etth1_n3,80420,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
fixshard_etth1_n5,80421,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
fixshard_etth1_n5,80422,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
fixshard_etth1_n5,80423,sum,scale,merge_scale/selected,0.25,5,bitwise,73,0.0
fixshard_exchange_n2,80424,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
fixshard_exchange_n2,80425,sum,scale,merge_scale/selected,0.45,2,bitwise,73,0.0
fixshard_exchange_n2,80426,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
fixshard_exchange_n3,80427,sum,scale,merge_scale/selected,0.45,3,bitwise,73,0.0
fixshard_exchange_n3,80428,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
fixshard_exchange_n3,80429,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
