parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,7,1.483790817810635
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,0,0.29401752475305387
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,1,0.34782672091662137
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,2,0.4254049753302086
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,3,0.5836724590725176
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,4,0.725220928276048
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,5,0.9625914315147505
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,6,1.3032626136055367
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,7,1.4816830846476108
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,0,0.350201605026487
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,1,0.4244481853056954
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,2,0.5060905074943901
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,3,0.6418401437466434
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,4,0.7530374706365087
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,5,1.1667144075997902
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,6,1.423579064116146
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,7,1.523103564234555
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,0,0.2940175247530531
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,1,0.3478267209166204
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,2,0.4254049753302083
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,3,0.5836724590725176
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,4,0.7252209282760474
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,5,0.9625914315147504
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,6,1.3032626136055367
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,7,1.4816830846476108
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,0,0.29423740384734426
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,1,0.31209737790400427
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,2,0.41076587770668854
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,3,0.6544928697506497
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,4,0.6876983779486922
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,5,0.8690691999870613
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,6,1.4238031952860875
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,7,1.5327347789029135
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,0,0.3502016050264877
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,1,0.4244481853056962
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,2,0.5060905074943908
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,3,0.641840143746644
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,4,0.7530374706365087
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,5,1.1667144075997902
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,6,1.423579064116146
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,7,1.5231035642345547
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.29423740384734426
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.31209737790400466
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.4107658777066888
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.6544928697506492
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,0.6876983779486924
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,0.869069199987061
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,1.4238031952860877
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.5327347789029133
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.545895437158433
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,0.618125559271076
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,0.8164963203605463
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,0.8923284302417812
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,1.0044104481056144
