parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,2,0.6782943356596062
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,3,0.8285731758416932
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,4,1.0488205999712954
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,5,1.2163755435558854
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,6,1.4597943989888522
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,7,1.5233025478057125
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,0,0.32455708620950824
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,1,0.49904715141243267
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,2,0.7883814197529414
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,3,1.025879020878944
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,4,1.0625792499330395
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,5,1.2853260803036457
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,6,1.383410804314487
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,7,1.469697332684082
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,0,0.37918097939258977
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,1,0.5246068908164743
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,2,0.697969756332867
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,3,0.9617086207353075
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,4,1.1770922527350385
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,5,1.2365378097050934
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,6,1.3912921935946085
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,7,1.3994026269775535
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,0,0.42789458597080776
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,1,0.4731467725770346
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,2,0.6782943356596073
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,3,0.8285731758416937
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,4,1.0488205999712954
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,5,1.2163755435558856
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,6,1.4597943989888522
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,7,1.5233025478057127
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.37918097939258916
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.5246068908164747
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.6979697563328678
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.9617086207353074
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,1.1770922527350385
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,1.2365378097050936
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,1.3912921935946085
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.3994026269775535
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.7080852487913463
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,1.0517869284250145
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,1.126882080823703
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,1.1601094726908334
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,1.3250392586679913
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,5,1.3906899897690015
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,6,1.4529162099444806
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,7,1.542555910035313
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,0,0.7791245189704646
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,1,0.939490254607276
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,2,1.1841782368747895
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,3,1.2722229153232933
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,4,1.3093195429432845
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,5,1.402607209503002
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,6,1.469389414855007
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,7,1.5424893984555028
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,0,0.7080852487913469
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,1,1.0517869284250145
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,2,1.126882080823703
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,3,1.1601094726908334
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,4,1.3250392586679913
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,5,1.3906899897690015
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,6,1.4529162099444806
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,7,1.542555910035313
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,0,0.8477860806734652
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,1,0.9736040159037287
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,2,1.1935046054215002
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,3,1.248904793072255
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,4,1.3537349121136444
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,5,1.4118746280901413
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,6,1.4369475570520418
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,7,1.5375856217960269
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,0,0.7791245189704646
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,1,0.9394902546072761
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,2,1.1841782368747895
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,3,1.2722229153232933
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,4,1.3093195429432845
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,5,1.402607209503002
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,6,1.469389414855007
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,7,1.5424893984555028
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,0,0.8477860806734651
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,1,0.9736040159037288
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,2,1.1935046054215002
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,3,1.2489047930722548
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,4,1.3537349121136444
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,5,1.4118746280901413
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,6,1.4369475570520418
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,7,1.5375856217960269
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,0,0.22398293315849221
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,1,0.37079072138045593
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,2,0.5416147125929243
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,3,0.6391338877789928
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,4,0.7741752481528887
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,5,1.0205067013357194
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,6,1.3120962744202693
