dataset,n_segments,seed,metric,lambda_source,fixed_lambda,fisher_batch_size,fisher_batches,fisher_samples,adaptive_run,plain_run,acc_adaptive,acc_plain,bwt_adaptive,bwt_plain,base_slice_adaptive,base_slice_plain
ETTh2,5,42,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n5_s42/112252,etth2_continual_n5/80563,0.62502521276474,0.19881728291511536,-0.0009621381759643555,0.031062301248311996,1.123145655998563,1.2918874039800454
ETTh2,5,7,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n5_s7/112253,etth2_continual_n5/80564,0.4540476560592651,0.2088710382580757,-0.0010950751602649689,0.043185293674468994,1.0355518432530706,0.9961352927230356
ETTm2,2,123,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n2_s123/112254,ettm2_continual_n2/80593,0.372150681912899,0.1325649879872799,-0.000166282057762146,0.08557257801294327,0.5917991002953144,0.6950390084020931
ETTm2,2,42,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n2_s42/112255,ettm2_continual_n2/80594,0.4285229817032814,0.14336205646395683,-0.0018134117126464844,0.10429573804140091,0.5896450406954611,0.7679233834082362
ETTm2,2,7,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n2_s7/112256,ettm2_continual_n2/80595,0.4057074040174484,0.15406089648604393,-0.001026257872581482,0.10992927104234695,0.6112791418752425,0.9203496506457587
ETTm2,3,123,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n3_s123/112257,ettm2_continual_n3/80596,0.34420418987671536,0.10631473859151204,-0.0002798810601234436,0.038071803748607635,0.7599154021205802,0.8055021829423092
ETTm2,3,42,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n3_s42/112258,ettm2_continual_n3/80597,0.4509030704696973,0.10340885072946548,-0.004990421235561371,0.02497182786464691,0.6394549021721686,0.857818736231321
ETTm2,3,7,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n3_s7/112259,ettm2_continual_n3/80598,0.3823516021172206,0.12993890047073364,-0.0028121769428253174,0.06803658604621887,0.6558587728394223,0.9952992978536922
ETTm2,5,123,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n5_s123/112260,ettm2_continual_n5/80599,0.48894830197095873,0.15074359625577927,-0.003521079197525978,0.09500847943127155,0.9534484392580619,1.3102759401132023
ETTm2,5,42,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n5_s42/112261,ettm2_continual_n5/80600,0.5823464184999466,0.1794934555888176,-0.0016572792083024979,0.12853539269417524,1.1612389787163013,1.3547501549288126
ETTm2,5,7,forecast/mse,became,,128,64,8192,adaptive_became_ettm2_n5_s7/112262,ettm2_continual_n5/80601,0.4995944708585739,0.15424687117338182,-0.0019778255373239517,0.09341875929385424,1.0010681565831556,1.3611840444537375
exchange_rate,3,123,forecast/mse,became,,128,64,8192,adaptive_became_exchange_n3_s123/112271,exch_continual/79683,0.250092754761378,0.09705282996098201,-0.022512931376695633,0.03711779601871967,0.6925090568376698,0.8244544217973606
exchange_rate,3,42,forecast/mse,became,,128,64,8192,adaptive_became_exchange_n3_s42/112269,exch_continual/79681,0.34919361770153046,0.09512697532773018,-0.03815582022070885,0.02418104000389576,0.788614582301208,0.7815815467128264
exchange_rate,3,7,forecast/mse,became,,128,64,8192,adaptive_became_exchange_n3_s7/112270,exch_continual/79682,0.2329983189702034,0.1149168498814106,-0.023716870695352554,0.06288670934736729,0.6851064407550855,0.9334506339063229
PSM,3,123,reconstruction/score_mean,became,,64,64,4096,adaptive_became_psm_n3_s123/112265,continual_psm/79439,0.3392465298728511,0.31807215281147,-0.03484746826180149,-0.05719565839002039,1.1647869696654947,1.1829066134455366
PSM,3,42,reconstruction/score_mean,became,,64,64,4096,adaptive_became_psm_n3_s42/112263,continual_psm/79365,0.29058923630274014,0.25758998701373054,-0.019895378180216916,-0.04573180588293292,1.0860377472364378,1.1577581586255243
PSM,3,7,reconstruction/score_mean,became,,64,64,4096,adaptive_became_psm_n3_s7/112264,continual_psm/79438,0.2864090927035646,0.2654624467904803,-0.02527507418900532,-0.048965133312675685,1.1072402802743055,1.1357767602434958
SWaT,3,123,reconstruction/score_mean,became,,64,64,4096,adaptive_became_swat_n3_s123/112268,continual_swat/79437,0.043435694420986805,0.043207673400994684,-0.0028476650495689523,0.007275930182272721,0.981633048463304,1.6843049949500255
SWaT,3,42,reconstruction/score_mean,became,,64,64,4096,adaptive_became_swat_n3_s42/112266,continual_swat/79366,0.042343989623198124,0.042961317413668924,-0.0015293969597412402,0.005840131409606469,1.0605663720021112,1.5859777528883579
SWaT,3,7,reconstruction/score_mean,became,,64,64,4096,adaptive_became_swat_n3_s7/112267,continual_swat/79436,0.04694127753871654,0.04253699597980484,-0.0030227070200331656,0.006175022325337384,0.9572955045023522,1.6341199852537933
ETTh1,3,123,forecast/mse,became,,1,512,512,fisherfix_etth1_n3_s123/112316,continual_etth/79368,0.3750502367814382,0.3407415846983592,-0.1257137507200241,-0.04272356629371643,0.953975461347712,1.2578039754753307
ETTh1,3,42,forecast/mse,became,,1,512,512,fisherfix_etth1_n3_s42/112314,continual_etth/79359,0.35392510890960693,0.3058255463838577,-0.07035234570503235,-0.03064412623643875,0.8914454348312444,0.9718448823606506
ETTh1,3,7,forecast/mse,became,,1,512,512,fisherfix_etth1_n3_s7/112315,continual_etth/79367,0.34722329676151276,0.30993593235810596,-0.07851307839155197,-0.042984358966350555,0.9786167366251523,1.1016982073205674
ETTh2,2,123,forecast/mse,became,,1,512,512,fisherfix_etth2_n2_s123/112317,etth2_continual_n2/80556,0.5267487540841103,0.26720861345529556,-0.003482609987258911,0.17374025285243988,0.9919169531248487,1.053687992282823
ETTh2,2,42,forecast/mse,became,,1,512,512,fisherfix_etth2_n2_s42/112318,etth2_continual_n2/80557,0.873885340988636,0.4390663132071495,0.004445701837539673,0.495316818356514,0.9159265059575685,1.484881950408343
ETTh2,2,7,forecast/mse,became,,1,512,512,fisherfix_etth2_n2_s7/112319,etth2_continual_n2/80558,0.5077155157923698,0.31951912492513657,-0.0051736980676651,0.28496238589286804,0.9635746769970083,1.2122161947676562
ETTh2,3,123,forecast/mse,became,,1,512,512,fisherfix_etth2_n3_s123/112320,etth2_continual_n3/80559,0.6691842873891195,0.2370330492655436,-0.05509299784898758,0.10568356513977051,1.0752171549333167,1.1127918709175362
ETTh2,3,42,forecast/mse,became,,1,512,512,fisherfix_etth2_n3_s42/112321,etth2_continual_n3/80560,0.8308129807313284,0.25030384709437686,-0.08950895816087723,0.15228334814310074,1.0959788221488733,1.269556210772102
ETTh2,3,7,forecast/mse,became,,1,512,512,fisherfix_etth2_n3_s7/112322,etth2_continual_n3/80561,0.5811522056659063,0.19089029977718988,-0.041595689952373505,0.05615832284092903,1.1099549092556609,1.0561565486628246
ETTh2,5,123,forecast/mse,became,,1,512,512,fisherfix_etth2_n5_s123/112323,etth2_continual_n5/80562,0.40406388640403745,0.22190409302711486,-0.018917687237262726,0.0633212961256504,1.1672338638091175,1.2696307789657457
ETTh2,5,42,forecast/mse,became,,1,512,512,fisherfix_etth2_n5_s42/112324,etth2_continual_n5/80563,0.5661654770374298,0.19881728291511536,-0.032927997410297394,0.031062301248311996,1.1174274415050314,1.2918874039800454
ETTh2,5,7,forecast/mse,became,,1,512,512,fisherfix_etth2_n5_s7/112325,etth2_continual_n5/80564,0.4160060971975327,0.2088710382580757,-0.020444028079509735,0.043185293674468994,1.0362591138474744,0.9961352927230356
ETTm2,2,123,forecast/mse,became,,1,512,512,fisherfix_ettm2_n2_s123/112326,ettm2_continual_n2/80593,0.3433172330260277,0.1325649879872799,0.0002691894769668579,0.08557257801294327,0.5959737420451297,0.6950390084020931
ETTm2,2,42,forecast/mse,became,,1,512,512,fisherfix_ettm2_n2_s42/112327,ettm2_continual_n2/80594,0.3887375704944134,0.14336205646395683,-0.0026259422302246094,0.10429573804140091,0.5492359355184586,0.7679233834082362
ETTm2,2,7,forecast/mse,became,,1,512,512,fisherfix_ettm2_n2_s7/112328,ettm2_continual_n2/80595,0.3609706163406372,0.15406089648604393,-0.001775696873664856,0.10992927104234695,0.5888028815420676,0.9203496506457587
ETTm2,3,123,forecast/mse,became,,1,512,512,fisherfix_ettm2_n3_s123/112329,ettm2_continual_n3/80596,0.3510449181000392,0.10631473859151204,-0.02968340367078781,0.038071803748607635,0.5707819220231106,0.8055021829423092
ETTm2,3,42,forecast/mse,became,,1,512,512,fisherfix_ettm2_n3_s42/112330,ettm2_continual_n3/80597,0.37494483093420666,0.10340885072946548,-0.03731594979763031,0.02497182786464691,0.5814210003731277,0.857818736231321
ETTm2,3,7,forecast/mse,became,,1,512,512,fisherfix_ettm2_n3_s7/112331,ettm2_continual_n3/80598,0.3601686159769694,0.12993890047073364,-0.03788028284907341,0.06803658604621887,0.5773920240968,0.9952992978536922
ETTm2,5,123,forecast/mse,became,,1,512,512,fisherfix_ettm2_n5_s123/112332,ettm2_continual_n5/80599,0.38948706835508345,0.15074359625577927,-0.024153120815753937,0.09500847943127155,0.8527775259001295,1.3102759401132023
ETTm2,5,42,forecast/mse,became,,1,512,512,fisherfix_ettm2_n5_s42/112333,ettm2_continual_n5/80600,0.4443306982517242,0.1794934555888176,-0.02464677393436432,0.12853539269417524,0.970872165857795,1.3547501549288126
ETTm2,5,7,forecast/mse,became,,1,512,512,fisherfix_ettm2_n5_s7/112334,ettm2_continual_n5/80601,0.39868541061878204,0.15424687117338182,-0.027418771758675575,0.09341875929385424,0.907164022942446,1.3611840444537375
exchange_rate,3,123,forecast/mse,became,,1,512,512,fisherfix_exchange_n3_s123/112337,exch_continual/79683,0.21290211006999016,0.09705282996098201,-0.022722579538822174,0.03711779601871967,0.6805416531944529,0.8244544217973606
exchange_rate,3,42,forecast/mse,became,,1,512,512,fisherfix_exchange_n3_s42/112335,exch_continual/79681,0.22949028263489404,0.09512697532773018,-0.04094809480011463,0.02418104000389576,0.7077317214780866,0.7815815467128264
exchange_rate,3,7,forecast/mse,became,,1,512,512,fisherfix_exchange_n3_s7/112336,exch_continual/79682,0.21087186162670454,0.1149168498814106,-0.02818261831998825,0.06288670934736729,0.6983693595337398,0.9334506339063229
ETTh2,3,123,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_etth2_n3_s123/112382,etth2_continual_n3/80559,0.491522749265035,0.2370330492655436,-0.11341889202594757,0.10568356513977051,0.9463734871655634,1.1127918709175362
ETTh2,3,42,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_etth2_n3_s42/112387,etth2_continual_n3/80560,0.67241370677948,0.25030384709437686,-0.11971844732761383,0.15228334814310074,0.945981710992653,1.269556210772102
ETTh2,3,7,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_etth2_n3_s7/112392,etth2_continual_n3/80561,0.6022424697875977,0.19089029977718988,-0.10012699663639069,0.05615832284092903,0.9493703290500627,1.0561565486628246
ETTm2,3,123,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_ettm2_n3_s123/112397,ettm2_continual_n3/80596,0.2607506612936656,0.10631473859151204,-0.06699769198894501,0.038071803748607635,0.9163963379190796,0.8055021829423092
ETTm2,3,42,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_ettm2_n3_s42/112402,ettm2_continual_n3/80597,0.2690632442633311,0.10340885072946548,-0.056997448205947876,0.02497182786464691,0.9200505781788406,0.857818736231321
ETTm2,3,7,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_ettm2_n3_s7/112407,ettm2_continual_n3/80598,0.36348743240038556,0.12993890047073364,-0.07135877013206482,0.06803658604621887,0.9280730780257406,0.9952992978536922
exchange_rate,3,123,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_exchange_n3_s123/112422,exch_continual/79683,0.43448565403620404,0.09705282996098201,-0.025329485535621643,0.03711779601871967,0.8844153224391128,0.8244544217973606
exchange_rate,3,42,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_exchange_n3_s42/112412,exch_continual/79681,0.4633701940377553,0.09512697532773018,-0.030205734074115753,0.02418104000389576,0.9001893299513826,0.7815815467128264
exchange_rate,3,7,forecast/mse,fixed,0.1,0,0,0,lamgrid_010_exchange_n3_s7/112417,exch_continual/79682,0.4580526798963547,0.1149168498814106,-0.02690345048904419,0.06288670934736729,0.8659607357392993,0.9334506339063229
ETTh2,3,123,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_etth2_n3_s123/112383,etth2_continual_n3/80559,0.22348845998446146,0.2370330492655436,-0.11066887527704239,0.10568356513977051,0.925634471736984,1.1127918709175362
ETTh2,3,42,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_etth2_n3_s42/112388,etth2_continual_n3/80560,0.35398247838020325,0.25030384709437686,-0.10563955456018448,0.15228334814310074,0.9330129136981351,1.269556210772102
ETTh2,3,7,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_etth2_n3_s7/112393,etth2_continual_n3/80561,0.3014262616634369,0.19089029977718988,-0.105436772108078,0.05615832284092903,0.9157199399546574,1.0561565486628246
ETTm2,3,123,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_ettm2_n3_s123/112398,ettm2_continual_n3/80596,0.1353532373905182,0.10631473859151204,-0.06255891174077988,0.038071803748607635,0.8555011450978726,0.8055021829423092
ETTm2,3,42,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_ettm2_n3_s42/112403,ettm2_continual_n3/80597,0.1417777637640635,0.10340885072946548,-0.06093820184469223,0.02497182786464691,0.8065565237728058,0.857818736231321
ETTm2,3,7,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_ettm2_n3_s7/112408,ettm2_continual_n3/80598,0.16133785744508108,0.12993890047073364,-0.09530279040336609,0.06803658604621887,0.8185074328124431,0.9952992978536922
exchange_rate,3,123,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_exchange_n3_s123/112423,exch_continual/79683,0.2605440964301427,0.09705282996098201,-0.035201314836740494,0.03711779601871967,0.7539042062625869,0.8244544217973606
exchange_rate,3,42,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_exchange_n3_s42/112413,exch_continual/79681,0.2528096561630567,0.09512697532773018,-0.050156138837337494,0.02418104000389576,0.7746761728493413,0.7815815467128264
exchange_rate,3,7,forecast/mse,fixed,0.3,0,0,0,lamgrid_030_exchange_n3_s7/112418,exch_continual/79682,0.253902626534303,0.1149168498814106,-0.04204241558909416,0.06288670934736729,0.7531471876300281,0.9334506339063229
ETTh2,3,123,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_etth2_n3_s123/112384,etth2_continual_n3/80559,0.1744643102089564,0.2370330492655436,-0.03560244292020798,0.10568356513977051,0.949326914747382,1.1127918709175362
ETTh2,3,42,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_etth2_n3_s42/112389,etth2_continual_n3/80560,0.23270245144764581,0.25030384709437686,-0.033404987305402756,0.15228334814310074,0.9503583350661247,1.269556210772102
ETTh2,3,7,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_etth2_n3_s7/112394,etth2_continual_n3/80561,0.20104079445203146,0.19089029977718988,-0.032468877732753754,0.05615832284092903,0.9340975292906174,1.0561565486628246
ETTm2,3,123,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_ettm2_n3_s123/112399,ettm2_continual_n3/80596,0.12058902283509572,0.10631473859151204,-0.011303462088108063,0.038071803748607635,0.8658650904210083,0.8055021829423092
ETTm2,3,42,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_ettm2_n3_s42/112404,ettm2_continual_n3/80597,0.1105831613143285,0.10340885072946548,-0.03257991001009941,0.02497182786464691,0.7286947774229409,0.857818736231321
ETTm2,3,7,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_ettm2_n3_s7/112409,ettm2_continual_n3/80598,0.11046499758958817,0.12993890047073364,-0.04810292646288872,0.06803658604621887,0.7701110354692989,0.9952992978536922
exchange_rate,3,123,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_exchange_n3_s123/112424,exch_continual/79683,0.16774562994639078,0.09705282996098201,-0.02047950215637684,0.03711779601871967,0.7055753492142344,0.8244544217973606
exchange_rate,3,42,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_exchange_n3_s42/112414,exch_continual/79681,0.15083984285593033,0.09512697532773018,-0.04051174968481064,0.02418104000389576,0.7162867121246861,0.7815815467128264
exchange_rate,3,7,forecast/mse,fixed,0.5,0,0,0,lamgrid_050_exchange_n3_s7/112419,exch_continual/79682,0.15441720684369406,0.1149168498814106,-0.028035078197717667,0.06288670934736729,0.7519109986713347,0.9334506339063229
ETTh2,3,123,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_etth2_n3_s123/112385,etth2_continual_n3/80559,0.19051161656777063,0.2370330492655436,0.03327701613306999,0.10568356513977051,0.9938317051084513,1.1127918709175362
ETTh2,3,42,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_etth2_n3_s42/112390,etth2_continual_n3/80560,0.19279972712198892,0.25030384709437686,0.05017850548028946,0.15228334814310074,1.056680144847966,1.269556210772102
ETTh2,3,7,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_etth2_n3_s7/112395,etth2_continual_n3/80561,0.17616421977678934,0.19089029977718988,0.014322474598884583,0.05615832284092903,0.9681068338901455,1.0561565486628246
ETTm2,3,123,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_ettm2_n3_s123/112400,ettm2_continual_n3/80596,0.12993987649679184,0.10631473859151204,0.04800666868686676,0.038071803748607635,0.9545640598383129,0.8055021829423092
ETTm2,3,42,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_ettm2_n3_s42/112405,ettm2_continual_n3/80597,0.12422280510266621,0.10340885072946548,0.027050737291574478,0.02497182786464691,0.7688746848924135,0.857818736231321
ETTm2,3,7,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_ettm2_n3_s7/112410,ettm2_continual_n3/80598,0.10837219158808391,0.12993890047073364,0.009138200432062149,0.06803658604621887,0.7983138225759076,0.9952992978536922
exchange_rate,3,123,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_exchange_n3_s123/112425,exch_continual/79683,0.11504629005988438,0.09705282996098201,-0.0013693459331989288,0.03711779601871967,0.7158862899732455,0.8244544217973606
exchange_rate,3,42,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_exchange_n3_s42/112415,exch_continual/79681,0.10568773994843166,0.09512697532773018,-0.018377700820565224,0.02418104000389576,0.7134573553566176,0.7815815467128264
exchange_rate,3,7,forecast/mse,fixed,0.7,0,0,0,lamgrid_070_exchange_n3_s7/112420,exch_continual/79682,0.1104784831404686,0.1149168498814106,0.0008287336677312851,0.06288670934736729,0.804025562801136,0.9334506339063229
ETTh2,3,123,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_etth2_n3_s123/112386,etth2_continual_n3/80559,0.22286956260601679,0.2370330492655436,0.09120311960577965,0.10568356513977051,1.0732936980872834,1.1127918709175362
ETTh2,3,42,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_etth2_n3_s42/112391,etth2_continual_n3/80560,0.18423885852098465,0.25030384709437686,0.05549928918480873,0.15228334814310074,1.0739551216831464,1.269556210772102
ETTh2,3,7,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_etth2_n3_s7/112396,etth2_continual_n3/80561,0.203459565838178,0.19089029977718988,0.08306487649679184,0.05615832284092903,1.1333669019822987,1.0561565486628246
ETTm2,3,123,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_ettm2_n3_s123/112401,ettm2_continual_n3/80596,0.09998375177383423,0.10631473859151204,0.02612346038222313,0.038071803748607635,0.762791574065192,0.8055021829423092
ETTm2,3,42,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_ettm2_n3_s42/112406,ettm2_continual_n3/80597,0.15470641603072485,0.10340885072946548,0.09742958843708038,0.02497182786464691,0.9157536242656226,0.857818736231321
ETTm2,3,7,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_ettm2_n3_s7/112411,ettm2_continual_n3/80598,0.11931256204843521,0.12993890047073364,0.05174361914396286,0.06803658604621887,0.8924315875332482,0.9952992978536922
exchange_rate,3,123,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_exchange_n3_s123/112426,exch_continual/79683,0.09690521657466888,0.09705282996098201,0.022602533921599388,0.03711779601871967,0.7749527595016789,0.8244544217973606
exchange_rate,3,42,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_exchange_n3_s42/112416,exch_continual/79681,0.09198149542013805,0.09512697532773018,0.008775433525443077,0.02418104000389576,0.7481785860641945,0.7815815467128264
exchange_rate,3,7,forecast/mse,fixed,0.9,0,0,0,lamgrid_090_exchange_n3_s7/112421,exch_continual/79682,0.10609577596187592,0.1149168498814106,0.03891555219888687,0.06288670934736729,0.8903644293175313,0.9334506339063229
exchange_rate,3,123,forecast/mse,one_over_t,,0,0,0,onet_exchange_n3_s123/112370,exch_continual/79683,0.277563851326704,0.09705282996098201,-0.02419230341911316,0.03711779601871967,0.7240349146099087,0.8244544217973606
exchange_rate,3,42,forecast/mse,one_over_t,,0,0,0,onet_exchange_n3_s42/112368,exch_continual/79681,0.27333158751328784,0.09512697532773018,-0.03853699937462807,0.02418104000389576,0.7318944337943205,0.7815815467128264
exchange_rate,3,7,forecast/mse,one_over_t,,0,0,0,onet_exchange_n3_s7/112369,exch_continual/79682,0.2796567666033904,0.1149168498814106,-0.033279409632086754,0.06288670934736729,0.7299367590403334,0.9334506339063229
