dataset,n_segments,seed,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,step,lambda_star,one_over_t,lambda_over_one_over_t,fisher_num,fisher_den,lambda_term,lambda_over_fisher,floor_is_t,fisher_star_num,asymmetry_hat_over_star,d_norm,step_norm,merged_dist_from_base,unconstrained_dist_from_base
ETTh2,5,123,became,128,64,8192,4,0.0007605895363807673,0.2,0.003802947681903836,1.1877083323272621e-07,0.00015615628082118002,0.00015603750998794728,1313.76959932746,4,0.0,,2.3890926837921143,0.0018171259434893727,1.0691299438476562,2.6365468502044678
ETTh2,5,123,became,128,64,8192,5,0.0012826968148339163,0.16666666666666666,0.007696180889003498,2.5485856815597353e-07,0.00019868963983431473,0.00019843478126615875,778.6074555073094,5,0.0,,2.253528594970703,0.0028905950020998716,1.0693050622940063,2.5508596897125244
ETTh2,5,42,became,128,64,8192,1,0.9985032204216008,0.5,1.9970064408432016,1.866243971496821e-05,1.8690415146671552e-05,2.797543170334049e-08,0.0014990232858409606,1,0.0,,0.7236489653587341,0.7225658297538757,0.7225658297538757,0.7236489653587341
ETTh2,5,42,became,128,64,8192,2,0.00043151847280114067,0.3333333333333333,0.0012945554184034221,6.016834829354128e-08,0.00013943400360815847,0.00013937383525986492,2316.397893788051,2,0.0,,2.621964454650879,0.0011314285220578313,0.7226582765579224,2.775494337081909
ETTh2,5,42,became,128,64,8192,3,0.0008089838506780022,0.25,0.003235935402712009,6.859169875073974e-08,8.478747590975227e-05,8.471888421100152e-05,1235.1186186373297,3,0.0,,1.7991336584091187,0.0014554716181010008,0.7227808833122253,1.9938921928405762
ETTh2,5,42,became,128,64,8192,4,0.0007875994786358236,0.2,0.003937997393179118,1.6190963188608152e-07,0.0002055735640741156,0.0002054116544422295,1268.6808811149401,4,0.0,,2.6182920932769775,0.0020621647126972675,0.7229986786842346,2.7878870964050293
ETTh2,5,42,became,128,64,8192,5,0.0009595440460530934,0.16666666666666666,0.005757264276318561,3.6844262454667e-07,0.0003839767711156048,0.00038360832849105816,1041.1616434527573,5,0.0,,2.4792892932891846,0.0023789897095412016,0.7232586741447449,2.6562259197235107
ETTh2,5,7,became,128,64,8192,1,0.9989830234400741,0.5,1.9979660468801481,3.8244567348631205e-05,3.828350077154778e-05,3.893342291657188e-08,0.0010180118541193363,1,0.0,,1.2141153812408447,1.2128806114196777,1.2128806114196777,1.2141153812408447
ETTh2,5,7,became,128,64,8192,2,0.0009874926639040597,0.3333333333333333,0.002962477991712179,7.79278797825363e-08,7.891489489597607e-05,7.883696701619354e-05,1011.6657508993458,2,0.0,,2.162203311920166,0.002135153627023101,1.2128863334655762,2.4810335636138916
ETTh2,5,7,became,128,64,8192,3,0.0008525679504219682,0.25,0.0034102718016878726,6.699405711144274e-08,7.857914090986512e-05,7.851214685275368e-05,1171.9270370825716,3,0.0,,2.119608163833618,0.0018071145750582218,1.2129080295562744,2.4538865089416504
ETTh2,5,7,became,128,64,8192,4,0.0013877429874315996,0.2,0.006938714937157997,1.9403575443043447e-07,0.00013982110245756027,0.00013962706670312983,719.5945258284282,4,0.0,,2.154486894607544,0.0029898728244006634,1.213039517402649,2.517254114151001
ETTh2,5,7,became,128,64,8192,5,0.0018427441151858885,0.16666666666666666,0.011056464691115332,3.5585707052749826e-07,0.0001931125800890705,0.000192756723018543,541.6689423447834,5,0.0,,2.1986944675445557,0.004051628056913614,1.2132976055145264,2.5761632919311523
ETTm2,2,123,became,128,64,8192,1,0.9110511496842842,0.5,1.8221022993685685,3.5978655852936684e-05,3.949136759819109e-05,3.5127117452544046e-06,0.09763321230266825,1,0.0,,5.430145740509033,4.947140693664551,4.947140693664551,5.430145740509033
ETTm2,2,123,became,128,64,8192,2,0.1390412274158981,0.3333333333333333,0.41712368224769436,3.1157990788808823e-07,2.240917414775798e-06,1.92933750688771e-06,6.192111423245814,2,0.0,,2.3132691383361816,0.3216398060321808,4.946622848510742,5.389299392700195
ETTm2,2,42,became,128,64,8192,1,0.7690909663440405,0.5,1.538181932688081,9.2745800872671e-06,1.2059145787857643e-05,2.784565700590542e-06,0.30023630982640614,1,0.0,,6.368553638458252,4.89799690246582,4.89799690246582,6.368553638458252
ETTm2,2,42,became,128,64,8192,2,0.030214182785705732,0.3333333333333333,0.0906425483571172,5.101230423663911e-07,1.6883562464172596e-05,1.6373439421806204e-05,32.09703946297359,2,0.0,,2.315371513366699,0.06995706260204315,4.89900016784668,5.432735443115234
ETTm2,2,7,became,128,64,8192,1,0.7746425851598764,0.5,1.5492851703197528,2.0455906978082834e-05,2.6406897025756718e-05,5.9509900476738844e-06,0.29091792674115996,1,0.0,,5.864146709442139,4.542617321014404,4.542617321014404,5.864146709442139
ETTm2,2,7,became,128,64,8192,2,0.02828065118147323,0.3333333333333333,0.08484195354441969,3.1133222419796525e-07,1.10086653309426e-05,1.0697333106744636e-05,34.3598647210466,2,0.0,,2.7069756984710693,0.0765550285577774,4.54093599319458,5.216869354248047
ETTm2,3,123,became,128,64,8192,1,0.5305354950884335,0.5,1.061070990176867,1.2271236485828787e-05,2.312990666870146e-05,1.0858670182872673e-05,0.8848880221168103,1,0.0,,6.801470756530762,3.608421564102173,3.608421564102173,6.801470756530762
