dataset,n_segments,seed,lambda_source,fixed_lambda,fisher_batch_size,fisher_batches,fisher_samples,n_steps,chain_dist_from_base,mean_unconstrained_dist,ratio_p4
exchange_rate,3,7,fixed,0.1,0,0,0,3,0.2796146869659424,1.3084525267283122,0.21369876342789296
ETTh2,3,123,fixed,0.3,0,0,0,3,1.5318201780319214,2.8738454977671304,0.5330210615783235
ETTh2,3,42,fixed,0.3,0,0,0,3,1.517561912536621,2.815683682759603,0.5389674706106493
ETTh2,3,7,fixed,0.3,0,0,0,3,1.539201259613037,2.869601011276245,0.5363816271198213
ETTm2,3,123,fixed,0.3,0,0,0,3,2.8588037490844727,5.442851861317952,0.5252400436252607
ETTm2,3,42,fixed,0.3,0,0,0,3,2.7909092903137207,5.251654068628947,0.5314343355144764
ETTm2,3,7,fixed,0.3,0,0,0,3,2.460570812225342,4.6581854820251465,0.5282251687314968
exchange_rate,3,123,fixed,0.3,0,0,0,3,0.838076114654541,1.377579391002655,0.6083686502050216
exchange_rate,3,42,fixed,0.3,0,0,0,3,0.8546959757804871,1.4156272212664287,0.6037577993278985
exchange_rate,3,7,fixed,0.3,0,0,0,3,0.8191614747047424,1.336187203725179,0.6130589130183168
ETTh2,3,123,fixed,0.5,0,0,0,3,2.458301544189453,3.063411315282186,0.802471914863645
ETTh2,3,42,fixed,0.5,0,0,0,3,2.375774383544922,3.072544972101847,0.7732268868695247
ETTh2,3,7,fixed,0.5,0,0,0,3,2.4106457233428955,3.0515520572662354,0.7899736521298272
ETTm2,3,123,fixed,0.5,0,0,0,3,4.383003234863281,5.786021550496419,0.7575158848980152
ETTm2,3,42,fixed,0.5,0,0,0,3,4.387477397918701,5.8298689524332685,0.7525859386749092
ETTm2,3,7,fixed,0.5,0,0,0,3,4.074221611022949,5.419951438903809,0.751708139260924
exchange_rate,3,123,fixed,0.5,0,0,0,3,1.342393398284912,1.379252851009369,0.973275782828738
exchange_rate,3,42,fixed,0.5,0,0,0,3,1.3639758825302124,1.4079884886741638,0.9687407912081752
exchange_rate,3,7,fixed,0.5,0,0,0,3,1.2992475032806396,1.2994249264399211,0.9998634602463972
ETTh2,3,123,fixed,0.7,0,0,0,3,3.228330612182617,3.160916487375895,1.0213273982643836
ETTh2,3,42,fixed,0.7,0,0,0,3,3.779175281524658,3.8652360439300537,0.9777346683547192
ETTh2,3,7,fixed,0.7,0,0,0,3,3.2269086837768555,3.3046274185180664,0.9764818465447269
ETTm2,3,123,fixed,0.7,0,0,0,3,5.850005626678467,6.425891717274983,0.9103803618339321
ETTm2,3,42,fixed,0.7,0,0,0,3,5.4140825271606445,6.06077257792155,0.8932990732705107
ETTm2,3,7,fixed,0.7,0,0,0,3,5.522597789764404,6.08416223526001,0.9077006128730216
exchange_rate,3,123,fixed,0.7,0,0,0,3,1.884413480758667,1.4698508183161418,1.282044039623999
exchange_rate,3,42,fixed,0.7,0,0,0,3,1.8629783391952515,1.4283054669698079,1.304327668189645
exchange_rate,3,7,fixed,0.7,0,0,0,3,1.8100247383117676,1.3511735200881958,1.339594590481333
ETTh2,3,123,fixed,0.9,0,0,0,3,4.2120232582092285,3.538008769353231,1.1905067321184768
ETTh2,3,42,fixed,0.9,0,0,0,3,4.655842304229736,4.4389627774556475,1.0488581539533435
ETTh2,3,7,fixed,0.9,0,0,0,3,4.555716037750244,3.904196341832479,1.1668767753652387
ETTm2,3,123,fixed,0.9,0,0,0,3,7.2619805335998535,7.195047060648601,1.0093027151020773
ETTm2,3,42,fixed,0.9,0,0,0,3,6.815640926361084,6.9086354573567705,0.9865393779177247
ETTm2,3,7,fixed,0.9,0,0,0,3,6.853363513946533,6.740414937337239,1.0167569174389601
