dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
ETTm2,3,joint,ettm2_gate_joint,1,4,13817,3,0.104772,0.001482,2
ETTm2,3,merge,ettm2_merge_n3,1,4,13817,3,0.146853,0.010223,4
ETTm2,3,sequential,ettm2_continual_n3,1,4,13817,3,0.099863,0.00185,1
ETTm2,3,window,ettm2_window_W3,1,4,13817,3,0.110521,0.004878,3
ETTm2,3,base,ettm2_merge_n3,1,4,13817,3,0.609671,0.085356,
ETTm2,3,joint,ettm2_gate_joint,2,4,13817,3,0.088512,0.004559,1
ETTm2,3,merge,ettm2_merge_n3,2,4,13817,3,0.1207,0.01259,4
ETTm2,3,sequential,ettm2_continual_n3,2,4,13817,3,0.099362,0.005827,2
ETTm2,3,window,ettm2_window_W3,2,4,13817,3,0.114713,0.007418,3
ETTm2,3,base,ettm2_merge_n3,2,4,13817,3,0.597957,0.116937,
ETTm2,3,joint,ettm2_gate_joint,3,4,13817,3,0.049667,0.006018,1
ETTm2,3,merge,ettm2_merge_n3,3,4,13817,3,0.086274,0.016996,3
ETTm2,3,sequential,ettm2_continual_n3,3,4,13817,3,0.074137,0.014816,2
ETTm2,3,window,ettm2_window_W3,3,4,13817,3,0.098422,0.008922,4
ETTm2,3,base,ettm2_merge_n3,3,4,13817,3,0.560964,0.10631,
ETTm2,3,joint,ettm2_gate_joint,4,4,13817,3,0.057202,0.005926,1
ETTm2,3,merge,ettm2_merge_n3,4,4,13817,3,0.094777,0.019653,3
ETTm2,3,sequential,ettm2_continual_n3,4,4,13817,3,0.094515,0.020679,2
ETTm2,3,window,ettm2_window_W3,4,4,13817,3,0.113007,0.008855,4
ETTm2,3,base,ettm2_merge_n3,4,4,13817,3,0.546538,0.10232,
ETTm2,5,joint,ettm2_gate_joint,1,4,13817,3,0.104772,0.001482,1
ETTm2,5,merge,ettm2_merge_n5,1,4,13817,3,0.17516,0.012594,4
ETTm2,5,sequential,ettm2_continual_n5,1,4,13817,3,0.128928,0.005505,3
ETTm2,5,window,ettm2_window_W3,1,4,13817,3,0.110521,0.004878,2
