parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,5,1.4353587193435764
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,6,1.484787960381694
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,7,1.5593039700485136
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,0,0.7243775639173801
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,1,0.74117628275821
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,2,0.9814364494907329
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,3,1.027881705526469
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,4,1.1773440248280844
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,5,1.3020045656899004
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,6,1.4205500950086292
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,7,1.510951168138196
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,0,0.7565625198856881
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,1,0.8722444105702317
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,2,1.0087387822360447
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,3,1.1072096622614898
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,4,1.1578305094989707
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,5,1.273352197037644
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,6,1.391324866688345
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,7,1.4762827840913206
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,0,0.8160587417552189
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,1,1.0137787316154614
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,2,1.0717299147555746
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,3,1.3072488109074167
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,4,1.3705700256173368
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,5,1.4353587193435762
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,6,1.484787960381694
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,7,1.5593039700485138
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,0,0.756562519885688
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,1,0.8722444105702325
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,2,1.0087387822360447
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,3,1.1072096622614898
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,4,1.1578305094989707
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,5,1.273352197037644
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,6,1.391324866688345
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,7,1.4762827840913206
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,0,0.22036224594731124
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,1,0.5746300457038989
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,2,0.6013713646752373
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,3,0.7847872117917233
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,4,1.0817729028553627
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,5,1.208571988187493
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,6,1.2666025698866492
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,7,1.5520723659915414
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,0,0.4660497451506953
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,1,0.6152418981573905
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,2,0.7534912593820385
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,3,1.0518238143700753
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,4,1.1331382410525783
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,5,1.1701768122383704
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,6,1.3619375508835427
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,7,1.5486512033083213
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,0,0.22036224594730972
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,1,0.5746300457038989
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,2,0.6013713646752366
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,3,0.7847872117917234
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,4,1.0817729028553627
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,5,1.208571988187493
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,6,1.2666025698866492
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,7,1.5520723659915414
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,0,0.4310911101918416
