merge_scale,split,metric,value,n_windows,eval_seed
1.0,test,event_fn,13.0,87742,43
1.25,test,window_auroc,0.7913965041986161,87742,43
1.25,test,window_auprc,0.6415836524825589,87742,43
1.25,test,window_f1,0.6766986584514922,87742,43
1.25,test,window_precision,0.5534737476848861,87742,43
1.25,test,window_recall,0.8705077397283474,87742,43
1.25,test,point_auroc,0.79673727838166,87742,43
1.25,test,point_auprc,0.5641663591312859,87742,43
1.25,test,point_f1,0.6287943262411347,87742,43
1.25,test,point_precision,0.48057326221759683,87742,43
1.25,test,point_recall,0.9092214291574371,87742,43
1.25,test,pa_f1,0.7709748233518556,87742,43
1.25,test,pa_precision,0.6624521072796935,87742,43
1.25,test,pa_recall,0.9220198539666913,87742,43
1.25,test,event_f1,0.23553719008264462,87742,43
1.25,test,event_precision,0.13801452784503632,87742,43
1.25,test,event_recall,0.8028169014084507,87742,43
1.25,test,event_tp,57.0,87742,43
1.25,test,event_fp,356.0,87742,43
1.25,test,event_fn,14.0,87742,43
1.5,test,window_auroc,0.7800743540111856,87742,43
1.5,test,window_auprc,0.6332614862327937,87742,43
1.5,test,window_f1,0.6615456601419325,87742,43
1.5,test,window_precision,0.5367288832647896,87742,43
1.5,test,window_recall,0.8620058937099888,87742,43
1.5,test,point_auroc,0.7877982161586496,87742,43
1.5,test,point_auprc,0.5592202147061134,87742,43
1.5,test,point_f1,0.6145509757762331,87742,43
1.5,test,point_precision,0.4652717723734998,87742,43
1.5,test,point_recall,0.9048732463696776,87742,43
1.5,test,pa_f1,0.7700174607133948,87742,43
1.5,test,pa_precision,0.6806413002393852,87742,43
1.5,test,pa_recall,0.8864139798178686,87742,43
1.5,test,event_f1,0.20350877192982458,87742,43
1.5,test,event_precision,0.11623246492985972,87742,43
1.5,test,event_recall,0.8169014084507042,87742,43
1.5,test,event_tp,58.0,87742,43
1.5,test,event_fp,441.0,87742,43
1.5,test,event_fn,13.0,87742,43
