model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_2,val,forecast/rmse,0.47343047234383556,1.0,3193,8
ft_0,val_2,val,forecast/rmse,0.4365706962247491,0.9221432115752859,3193,8
ft_1,val_2,val,forecast/rmse,0.4798869199969047,1.0136375836162486,3193,8
ft_2,val_2,val,forecast/rmse,0.3401391181784503,0.7184563268488122,3193,8
merged,val_2,val,forecast/rmse,0.3845179191302971,0.8121951196479713,3193,8
base,test,test,forecast/mae,0.4003831148147583,1.0,57319,8
ft_0,test,test,forecast/mae,0.4017164707183838,1.0033302001365427,57319,8
ft_1,test,test,forecast/mae,0.40720221400260925,1.0170314354815035,57319,8
ft_2,test,test,forecast/mae,0.3974553048610687,0.9926874789536413,57319,8
merged,test,test,forecast/mae,0.3674003779888153,0.917622058459676,57319,8
standard,test,test,forecast/mae,0.33045345544815063,0.8253431356640467,57319,8
base,test,test,forecast/mse,0.5130449533462524,1.0,57319,8
ft_0,test,test,forecast/mse,0.43890875577926636,0.8554976574987342,57319,8
ft_1,test,test,forecast/mse,0.433529257774353,0.8450122254331298,57319,8
ft_2,test,test,forecast/mse,0.44279906153678894,0.8630804350548698,57319,8
merged,test,test,forecast/mse,0.41155940294265747,0.8021897501541104,57319,8
standard,test,test,forecast/mse,0.31506407260894775,0.6141061724786365,57319,8
base,test,test,forecast/rmse,0.716271563965967,1.0,57319,8
ft_0,test,test,forecast/rmse,0.6625018911514641,0.9249311636542118,57319,8
ft_1,test,test,forecast/rmse,0.6584293870828921,0.919245465277436,57319,8
ft_2,test,test,forecast/rmse,0.6654314852310409,0.9290212242219604,57319,8
merged,test,test,forecast/rmse,0.6415289572128895,0.8956504620409182,57319,8
standard,test,test,forecast/rmse,0.5613056855305741,0.7836492662400933,57319,8
