run_id,seed,status,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,train_test_window_auroc,train_test_window_auprc,train_test_window_f1,train_test_window_precision,train_test_window_recall,train_test_point_auroc,train_test_point_auprc,train_test_point_f1,train_test_point_precision,train_test_point_recall,train_test_pa_f1,train_test_pa_precision,train_test_pa_recall,train_test_event_f1,train_test_event_precision,train_test_event_recall,train_test_event_tp,train_test_event_fp,train_test_event_fn,train_val_reconstruction/score_mean,train_val_reconstruction/score_std,train_val_reconstruction/score_p50,train_val_reconstruction/score_p95,train_val_reconstruction/score_p99
58337,42,complete,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,0.8002014195911434,0.6532203262585817,0.6918083624609077,0.5651473840142553,0.8916438031365376,0.7976699954614511,0.564328285446384,0.639067022302934,0.48848306077300135,0.9238657806218722,0.7676153537047714,0.6685535165403694,0.9011403724669784,0.39597315436241615,0.2599118942731278,0.8309859154929577,59.0,168.0,12.0,0.2006463802895367,0.15018477453659068,0.14538130164146423,0.4941033542156217,0.8147206783294677
58338,42,complete,5,512,2,2,128,1,2,0.8,30,random_mask,False,True,0.8078323263476652,0.6596079088863221,0.6924545070443056,0.6075573963286802,0.8049317481285777,0.804369319359432,0.568577888332819,0.6403543588359503,0.52233935092854,0.827262285667405,0.7654150163446737,0.6617123717814528,0.9076626466486176,0.21317829457364343,0.12359550561797752,0.7746478873239436,55.0,390.0,16.0,0.17802635777201142,0.12514565629769872,0.1369040459394455,0.4001489579677581,0.7117158174514769
58339,42,complete,5,256,2,2,128,2,2,0.8,30,random_mask,False,True,0.8095539040746204,0.6606154834143974,0.6895559328862924,0.5994345900778064,0.8115706398401247,0.8049440970715067,0.5672454134984005,0.6348885956059312,0.5107802233492392,0.8386660103371892,0.7740088736224416,0.6863379656069547,0.8873574534416278,0.17313432835820894,0.09682804674457429,0.8169014084507042,58.0,541.0,13.0,0.17755953554497927,0.12823437342877955,0.1340327113866806,0.41546258330345115,0.7408258318901053
58340,42,complete,5,256,2,2,128,1,4,0.8,30,random_mask,False,True,0.8036319135917943,0.6496842304960684,0.6851922145577821,0.5583667548425634,0.8865630186634149,0.8003300848033225,0.5610363038261617,0.6311184267521441,0.4869652406417112,0.8965050455328575,0.7660296357845173,0.6626534890685835,0.9076216260562803,0.28028503562945367,0.16857142857142857,0.8309859154929577,59.0,291.0,12.0,0.1993030387310418,0.14917262594138084,0.14514492452144623,0.47483583688735953,0.8209927892684932
58341,42,complete,5,256,2,2,64,1,2,0.8,30,random_mask,False,True,0.8063051843258671,0.6518400837900133,0.690514135718973,0.5710361936827183,0.8732174914473462,0.8033771679315722,0.5633814360408703,0.6377973112719751,0.4907174114838881,0.9107802116662564,0.764651616159858,0.664136909261331,0.9010173106899664,0.3286908077994429,0.2048611111111111,0.8309859154929577,59.0,229.0,12.0,0.21202401428339346,0.1653656675951878,0.1517566740512848,0.5043365240097045,0.9179200100898731
58342,42,complete,5,256,2,2,256,1,2,0.8,30,random_mask,False,True,0.8049516620273559,0.662510803436927,0.6725954671625299,0.5584569600143205,0.845374792534634,0.8002925746295501,0.570107640665882,0.6188323787178248,0.5340022628476151,0.7357043235704324,0.8022343051199733,0.7324883933715137,0.8866601033718927,0.2736318407960199,0.1661631419939577,0.7746478873239436,55.0,276.0,16.0,0.17601407392143884,0.11976926658232201,0.13624994456768036,0.41562293171882625,0.6737965917587279
58829,42,complete,25,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.8154502344970087,0.6683550966084237,0.7083321365999368,0.6148438084316024,0.8353487111743386,0.8110272076944347,0.5749923405586064,0.6553359560870173,0.5277103002679623,0.8643859217327098,0.7742413537591977,0.667548212640775,0.921527606858643,0.19765494137353432,0.11216730038022814,0.8309859154929577,59.0,467.0,12.0,0.21666535139946747,0.15608783781439073,0.16959218680858612,0.46574981808662397,0.935331242084503
58830,42,complete,25,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8154502344970087,0.6683550966084237,0.7083321365999368,0.6148438084316024,0.8353487111743386,0.8110272076944347,0.5749923405586064,0.6553359560870173,0.5277103002679623,0.8643859217327098,0.7742413537591977,0.667548212640775,0.921527606858643,0.19765494137353432,0.11216730038022814,0.8309859154929577,59.0,467.0,12.0,0.21666535139946747,0.15608783781439073,0.16959218680858612,0.46574981808662397,0.935331242084503
58831,42,complete,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8205198795093694,0.6631450603897032,0.7191197418529608,0.6298408656906429,0.8378891034109,0.8192731109864447,0.5753482081100492,0.6696841142424577,0.5439778637493274,0.8709492165066863,0.7724747994239868,0.6635447959003358,0.924193945360571,0.1878980891719745,0.1059245960502693,0.8309859154929577,59.0,498.0,12.0,0.28559370016446395,0.20960225437036914,0.22596383094787598,0.5954713106155394,1.3108314228057831
58832,42,complete,50,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.8125815532495109,0.6515535878290478,0.7031323581876561,0.607516275399487,0.834468041865664,0.8102873532371845,0.5625023458761889,0.6538210523044411,0.5262657594556734,0.8629912215932398,0.8103014848172463,0.7246320556364224,0.9189433095413898,0.133630289532294,0.07255139056831923,0.8450704225352113,60.0,767.0,11.0,0.2670029899030916,0.2060726875796663,0.21114033460617065,0.5599587798118578,1.1926390361785888
58833,42,complete,50,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8131397736698366,0.6527943985096516,0.7042369981751825,0.6080352527018045,0.8366019713443755,0.8105130241118685,0.5637107345292247,0.6545739593948421,0.5297535970766615,0.8563458856345886,0.8115799266677611,0.7307578594658519,0.9125030765444253,0.1413427561837456,0.07712082262210797,0.8450704225352113,60.0,718.0,11.0,0.2660044020033628,0.20427393278919792,0.20966118574142456,0.5625682473182673,1.1889751768112171
58834,42,complete,50,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8131397736698366,0.6527943985096516,0.7042369981751825,0.6080352527018045,0.8366019713443755,0.8105130241118685,0.5637107345292247,0.6545739593948421,0.5297535970766615,0.8563458856345886,0.8115799266677611,0.7307578594658519,0.9125030765444253,0.1413427561837456,0.07712082262210797,0.8450704225352113,60.0,718.0,11.0,0.2660044020033628,0.20427393278919792,0.20966118574142456,0.5625682473182673,1.1889751768112171
