parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,3,0.6560449202992134
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,4,0.7671713146744155
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,5,0.8176790804665023
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,6,0.896972359322768
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,7,1.4792848294034295
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,0,0.5243611680240345
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,1,0.6818397035842756
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,2,0.8646106300517692
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,3,0.9031647679892993
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,4,1.0207985869056846
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,5,1.1018635292736785
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,6,1.1584985768398066
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,7,1.4900240481287113
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,0,0.5853665384719199
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,1,0.7510797758255263
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,2,1.0154090220789556
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,3,1.1094053635121126
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,4,1.150167564222048
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,5,1.2399899196590596
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,6,1.3502965204591206
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,7,1.4888593527139378
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,0,0.5243611680240339
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,1,0.6818397035842756
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,2,0.8646106300517691
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,3,0.903164767989299
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,4,1.0207985869056841
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,5,1.1018635292736783
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,6,1.1584985768398066
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,7,1.4900240481287113
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,0,0.3982026042205108
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,1,0.5016908523255188
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,2,0.6667458333161655
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,3,0.8138930167759723
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,4,0.9648858466160966
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,5,1.1906936259656788
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,6,1.2688245404511869
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,7,1.501643637858044
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,0,0.6362847915733387
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,1,0.7127139967623174
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,2,0.7806379563674102
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,3,0.9688091103983495
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,4,1.1418902213392907
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,5,1.2998511135451882
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,6,1.4929662147035334
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,7,1.5116215404299986
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,0,0.39820260422051107
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,1,0.5016908523255186
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,2,0.6667458333161658
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,3,0.8138930167759715
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,4,0.9648858466160967
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,5,1.1906936259656788
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,6,1.2688245404511866
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,7,1.5016436378580442
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,0,0.4011429764572375
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,1,0.5120955619347546
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,2,0.6320112986388543
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,3,0.8963563233993355
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,4,1.0920774506298732
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,5,1.2274683084895783
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,6,1.4357420650867405
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,7,1.5412854233465967
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,0,0.6362847915733388
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,1,0.7127139967623177
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,2,0.7806379563674107
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,3,0.9688091103983492
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,4,1.1418902213392907
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,5,1.2998511135451882
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,6,1.4929662147035336
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,7,1.5116215404299986
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.4011429764572378
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.5120955619347546
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.632011298638854
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.8963563233993357
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,1.0920774506298732
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,1.2274683084895786
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,1.4357420650867405
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.5412854233465967
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.6771401696447992
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,0.8394626872108204
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,0.9736476981278286
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,1.1240406933710674
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,1.21928109538203
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,5,1.3257541215319901
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,6,1.4910717225014087
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,7,1.5366856123267172
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,0,0.9582086830998614
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,1,1.120367129791373
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,2,1.2070820713407286
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,3,1.28907946438893
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,4,1.3215798990350205
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,5,1.428369159520346
